Marca,SKU,Foto,Link site,Nome Marca,Nome Curadobia,Categoria,Sub-Categoria,Categoria Geral,Preço,Descrição do site,Grade,Tamanho do produto,Medidas,"Observação sobre Modelagem/Caimento (ex: reto, acinturado, oversized).",Tipo de tecido/material principal,Forro (sim/não),"Nível de transparência (ex: leve, média, zero).","Instruções de cuidado (ex: passa fácil, não amassa, pode lavar na máquina,  peça cede com uso; tecido com elastano).",Cor,"Tags de cores (ex: cor que alonga, combina com tudo)","Sazonalidade sugerida (ex: ideal para meia-estação, vai bem no verão com top por baixo).","Sugestões de tamanho por tipo de corpo  (ex: ideal para ombros largos, quadril estreito)",Ocasião Principal,Ocasião secundária,Ocasião ,Tempo médio de reposição.,Prazo médio de envio SEDEX para Sul e Sudeste,Prazo médio de envio PAC para Sul e Sudeste,Tipo de Frete,Tamanhos_Disponíveis,Grade_Completo,Medidas_Por_Tamanho
Paula Ferber,01-001-0156-001,,https://www.curadobia.com.br/paula-ferber/produto/gladiadora-organica-preto-cirre-paula-ferber,GLADIADORA ORGÂNICA -  PRETO CIRRÊ,SANDÁLIA WOW PRETA,SANDÁLIA,SANDÁLIA,Sapato,1576,"Esse modelo foi pensado para consguir aquele efeito enfeitante sem esforço. O desenho das curvas delinea os pés, criando um desenho especial e alongador. Para trazer toda a sensualidade da amarração nas pernas, com a praticidade do ziper atrás facinho de calçar.  ",34 / 35 / 36 / 37 / 38 / 39 / 40,34,-,,"Tecnolycra preto cirrê, palmilha colorplac preto, solado anabelinha. tr café. traseiro cristal preto.",nan,nan,nan,Preto cirrê,mais conhecido como brilho discreto,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,34 / 35 / 36 / 37 / 38 / 39 / 40,34 / 35 / 36 / 37 / 38 / 39 / 40,34: - | 35: - | 36: - | 37: - | 38: - | 39: - | 40: -
Paula Ferber,01-001-0156-292,,https://www.curadobia.com.br/paula-ferber/produto/gladiadora-organica-jangada-paula-ferber,GLADIADORA ORGÂNICA - JANGADA,SANDÁLIA WOW CARAMELO,SANDÁLIA,SANDÁLIA,Sapato,1576,"Esse modelo foi pensado para consguir aquele efeito enfeitante sem esforço. O desenho das curvas delinea os pés, criando um desenho especial e alongador. Para trazer toda a sensualidade da amarração nas pernas, com a praticidade do ziper atrás facinho de calçar.  ",34 / 35 / 36 / 37 / 38 / 39 / 40,34,-,,"Tecnolycra preto cirrê, palmilha colorplac preto, solado anabelinha. tr café. traseiro cristal preto.",nan,nan,nan,Jangada,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,34 / 35 / 36 / 37 / 38 / 39 / 40,34 / 35 / 36 / 37 / 38 / 39 / 40,34: - | 35: - | 36: - | 37: - | 38: - | 39: - | 40: -
Paula Ferber,01-129-0001-379,,https://www.curadobia.com.br/paula-ferber/produto/gladiadora-elos-preto-cirrepreto-paula-ferber,GLADIADORA ELOS - PRETO CIRRÊ / PRETO,A GLADIADORA PRETA,GLADIADORA,GLADIADORA,Sapato,1744,"Pensa em uma sandália que, pela mistura de materiais, pelo bico fino e pelo mix de brilho e opacidade, vira uma curingassa para deixar qualquer roupa com um jeitão moderno e com aquela sensualidade nada obvia. ",34 / 35 / 36 / 37 / 38 / 39 / 40,35,-,,"Tecnolycra ( tipo neoprene)  e couro acetinado, palmilha forrada couro acetinado e tecnolycra, solado anabelinha.",nan,nan,nan,Preto cirrê/preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,34 / 35 / 36 / 37 / 38 / 39 / 40,34 / 35 / 36 / 37 / 38 / 39 / 40,35: - | 34: - | 36: - | 39: - | 40: - | 37: - | 38: -
Paula Ferber,01-129-0001-380,,https://www.curadobia.com.br/paula-ferber/produto/gladiadora-elos-castanhoonix-paula-ferber,GLADIADORA ELOS - CASTANHO / ÔNIX,A GLADIADORA FENDI,GLADIADORA,GLADIADORA,Sapato,1744,"Pensa em uma sandália que, pela mistura de materiais, pelo bico fino e pelo mix de brilho e opacidade, vira uma curingassa para deixar qualquer roupa com um jeitão moderno e com aquela sensualidade nada obvia. ",34 / 35 / 36 / 37 / 38 / 39 / 40,35,-,,"Tecnolycra e couro acetinado, palmilha forrada couro acetinado e tecnolycra, solado anabelinha. ",nan,nan,nan,Fendi ,"mais conhecida como, aquela que combina com tudo",,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,34 / 35 / 36 / 37 / 38 / 39 / 40,34 / 35 / 36 / 37 / 38 / 39 / 40,35: - | 39: - | 34: - | 36: - | 37: - | 38: - | 40: -
Tata Knitwear,3926,,https://www.curadobia.com.br/tata/produto/o-tricozao,TOP AMAZONITA,O TRICOZÃO,BLUSA TRICOT MANGA LONGA,BLUSA,Parte de Cima,728,"Tricot gola alta que também pode ser usada ombro a ombro, daqueles que não podem faltar em uma mala de inverno e meia estação. Tem uma textura leve para ser usada também por dentro do cós e com casaco por cima sem fazer volume.",PP / P / M / G,PP,"PP – HPS: 57cm, Busto: 100cm, Cintura: 100cm, Quadril: 100cm",,50% Viscose 29% Poliéster 21% Poliamida (mistura que deixa a peça bem meia estação com toque muito agradável),nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"PP: PP – HPS: 57cm, Busto: 100cm, Cintura: 100cm, Quadril: 100cm | M: M – HPS: 61cm, Busto: 108cm, Cintura: 108cm, Quadril: 108cm | P: P – HPS: 59cm, Busto: 104cm, Cintura: 104cm, Quadril: 104cm | G: G – HPS: 63cm, Busto: 112cm, Cintura: 112cm, Quadril: 112cm"
Tata Knitwear,4004,,https://www.curadobia.com.br/tata/produto/tricot-delicia,TOP CALAMA,TRICOT DELÍCIA,BLUSA TRICOT MANGA LONGA,BLUSA,Parte de Cima,948,Casaco de tricot com um canelado que não faz volume mas tem seu destaque por conta do tom claro. Gola alta nem tão alta assim para quem implica um pouco com ela e uma manga mais ampla para dar aquele ar modernoso.,PP / P / M / G,PP,"PP – HPS: 56cm, Busto: 122cm, Cintura: 122cm, Quadril: 86cm",,50% Viscose 28% Poliéster 22% Poliamida,nan,nan,nan,Branco,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"PP: PP – HPS: 56cm, Busto: 122cm, Cintura: 122cm, Quadril: 86cm | M: M – HPS: 60cm, Busto: 130cm, Cintura: 130cm, Quadril: 94cm | P: P – HPS: 58cm, Busto: 126cm, Cintura: 126cm, Quadril: 90cm | G: G – HPS: 62cm, Busto: 134cm, Cintura: 134cm, Quadril: 98cm"
Tata Knitwear,4802,,https://www.curadobia.com.br/tata/produto/tricot-golona,TOP HELENA,TRICOT GOLONA,BLUSA TRICOT MANGA LONGA,BLUSA,Parte de Cima,978,"Tricot cheio de presença por conta dessa gola grandona que pode ser usada aberta ou mais levantadinha. O tom cinza mescla é desses que clareia um pouco as produções de inverno e combina com absolutamente tudo, das cores neutras às mais intensas.",PP / P / M / G,PP,nan,,40% Poliamida 28% Viscose 28% Acrílico 4% Elastano (pensa em um tricot de toque gostoso. agora faz vezes dez),nan,nan,nan,Cinza,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,
Tata Knitwear,4958,,https://www.curadobia.com.br/tata/produto/regata-chiquetosa,TOP IRIS CROPPED,REGATA CHIQUETOSA,REGATA TRICÔ,BLUSA,Parte de Cima,320,"Regata em tricot com uma linda estrutura de ombro e aquela lateral mais cavadinha que a gente adora por trazer mais leveza à peça. Para trabalhar, para sair, para viajar e ainda com a vantagem de ser mais curtinha para usar por fora do cós e ainda ficar arrumada",PP / P / M / G,PP,"PP – HPS: 45cm, Busto: 94cm, Cintura: 94cm, Quadril: 94cm",,100% Viscose (toque fresquinho e brilho discreto),nan,nan,nan,Petróleo (Lilás),nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"PP: PP – HPS: 45cm, Busto: 94cm, Cintura: 94cm, Quadril: 94cm | P: P – HPS: 50cm, Busto: 98cm, Cintura: 98cm, Quadril: 98cm | M: M – HPS: 49cm, Busto: 102cm, Cintura: 102cm, Quadril: 102cm | G: G – HPS: 51cm, Busto: 106cm, Cintura: 106cm, Quadril: 106cm"
Tata Knitwear,5276,,https://www.curadobia.com.br/tata/produto/blusa-solaris,Blusa Solaris,TRICOT GLAM ,BLUSA TRICOT MANGA LONGA,BLUSA,Parte de Cima,788,"Esta blusa é a escolha perfeita para quem busca um estilo atemporal e cheio de conforto. Com seu design sofisticado no estilo easy chic, ela combina praticidade e elegância de maneira única.",PP / P / M / G,M,"M – Busto: 92–96cm, Cintura: 74–78cm, Quadril: 100–104cm",, 50% Viscose 29% Poliéster 21% Poliamida (mistura que deixa a peça bem meia estação com toque muito agradável),nan,nan,nan,"Preto, dourado e off-white",nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"M: M – Busto: 92–96cm, Cintura: 74–78cm, Quadril: 100–104cm | PP: PP – Busto: 84–88cm, Cintura: 66–70cm, Quadril: 92–96cm | P: P – Busto: 88–92cm, Cintura: 70–74cm, Quadril: 96–100cm | G: G – Busto: 92–100cm, Cintura: 78–82cm, Quadril: 104–108cm"
Tata Knitwear,5325-03-01 00:00:00,,https://www.curadobia.com.br/tata/produto/regata-amor-perfeito,Regata Amor Perfeito,TRICÔ BASIQUETY,REGATA TRICÔ,BLUSA,Parte de Cima,348,"Essa regata é a escolha perfeita para quem busca um estilo atemporal e cheio de conforto. Com seu design sofisticado no estilo easy chic, ela combina praticidade e elegância de maneira única.",PP / P / M / G,PP,"PP – Busto: 84–88cm, Cintura: 66–70cm, Quadril: 92–96cm",,50% Viscose 28% Poliéster 22% Poliamida,nan,nan,nan,Cinza,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"PP: PP – Busto: 84–88cm, Cintura: 66–70cm, Quadril: 92–96cm | P: P – Busto: 88–92cm, Cintura: 70–74cm, Quadril: 96–100cm | M: M – Busto: 92–96cm, Cintura: 74–78cm, Quadril: 100–104cm | G: G – Busto: 92–100cm, Cintura: 78–82cm, Quadril: 104–108cm"
