mensagem,categoria,confianca
essa gladiadora!! qual o número? tem 37??,duvida_produto,0.95
e tem ela preta?,duvida_produto,0.95
"eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",solicitacao_informacao,0.9
yes!!,reacao_emocional,0.8
37?? não creio,reacao_emocional,0.9
tô de olho faz tempooo,interesse_produto,0.9
certo. qual o link da compra?,solicitacao_informacao,0.9
maravilha,reacao_emocional,0.8
obrigada ana!!,agradecimento,0.95
curtiu uma mensagem,reacao_emocional,0.9
compra realizada,rastreamento_pedido,0.85
eu não recebi email confirmando a compra...,rastreamento_pedido,0.95
🥰,reacao_emocional,0.9
olá,saudacao,0.95
como eu poderia rastrear minha compra?,rastreamento_pedido,0.95
bom dia,saudacao,0.99
por onde posso acompanhar o envio da minha compra?,rastreamento_pedido,0.9
obrigada,agradecimento,0.95
"boa tarde. estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",rastreamento_pedido,0.95
"vc poderia checar se houve algum problema com os correios de são paulo, pois nem chegou no correio de curitiba",rastreamento_pedido,0.95
parece que o contato por aqui não é satisfatório...,solicitacao_contato,0.85
bom dia,saudacao,0.95
vc teria alguma informação sobre a minha encomenda?,rastreamento_pedido,0.95
👏,reacao_emocional,0.9
"bom
dia 
gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , 
como faço para saber , poderiam me
ajudar ? 
no aguardo 
grata 
adriana baggio",duvida_produto,0.95
adriana shared a product.,mensagem_sistema,0.9
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho  1.05 de quadril , então não tenho certeza do p ou m 
poderiam me ajudar ? 
no aguardo 
grata 
adriana baggio",duvida_produto,0.95
"certo, obrigada !!!
o prazo de entrega são 19 dias mesmo ?",rastreamento_pedido,0.95
oi! esse conjunto marrom é vendido também ?,duvida_produto,0.95
curtiu uma mensagem,reacao_emocional,0.9
obrigada,agradecimento,0.95
olá! esse conjunto ainda não está disponvel no site de vcs né ? poderia me dizer se onde é?,solicitacao_informacao,0.9
ahh reptilia adoro,reacao_emocional,0.9
cadê? quero,interesse_produto,0.9
ola!,saudacao,0.95
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao,0.98
alguém poderia entrar em contato comigo por e-mail ou whatsapp? o site de vcs parece que está com problemas. não funciona direito não.,problema_tecnico,0.9
meu tel 21 99245-3454,solicitacao_contato,0.9
email: adrianaleitecarvalho@gmail.com,solicitacao_contato,0.9
muito obrigada!,agradecimento,0.95
ola!,saudacao,0.95
este é meu whatsapp…,solicitacao_contato,0.9
qual foi a mensagem?,nao_identificado,0.9
linda essa blusa,agradecimento,0.8
boa noite ! haverá reposição da saia única preta no tamanho  1 ?,reposicao_estoque,0.95
ok obrigada,agradecimento,0.9
experimentei essa jaqueta. maravilhosa,agradecimento,0.9
curtiu uma mensagem,reacao_emocional,0.9
boa tarde! a jaqueta off da nauanim voltou?,reposicao_estoque,0.95
"sim, obrigada",agradecimento,0.9
olá! por favor vcs tem desconto para a primeira compra? obrigada!,solicitacao_informacao,0.9
obrigada!,agradecimento,0.95
ola! estou tentando finalizar uma compra mas aparece o seguinte erro,problema_tecnico,0.95
obrigada,agradecimento,0.95
ola! por favor algum retorno?,solicitacao_informacao,0.8
deu certo mas a peça que eu queria acabou…,reposicao_estoque,0.9
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",problema_tecnico,0.9
😍,reacao_emocional,0.9
ebaaaaa,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
já comprei! e acabou de chegar!!,rastreamento_pedido,0.9
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao,0.95
sim!,confirmacao,0.95
"na verdade foi o porteiro, rs!",nao_identificado,0.8
"tranquilo, obrigada!",agradecimento,0.9
é o pedido 502!,rastreamento_pedido,0.9
😍,reacao_emocional,0.95
👏,reacao_emocional,0.95
😍,reacao_emocional,0.95
andrea sent an attachment.,mensagem_sistema,0.9
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,duvida_produto,0.95
legal. obrigada,agradecimento,0.95
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_produto,0.95
curtiu uma mensagem,reacao_emocional,0.9
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_produto,0.8
lindaaaa,reacao_emocional,0.9
acha melhor pegar maior?,duvida_produto,0.95
vou amanhã.  obrigada,confirmacao,0.8
😍,reacao_emocional,0.9
que roupa bonita,agradecimento,0.9
"olá! bom dia! 
me chamo anelisa e gostaria de confirmar se meu pedido foi realizado.
não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. 

fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. no entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. além disso também não recebi um e-mail com os dados do pedido. 

muito obrigada desde já!",problema_tecnico,0.9
"oi, ana! tudo e você?
beleza, obrigada!",saudacao,0.85
eba!,reacao_emocional,0.9
muito obrigada pelo retorno!,agradecimento,0.95
sua camisa é linda,agradecimento,0.9
adorei!!!! 😘😘🌷,reacao_emocional,0.9
😍,reacao_emocional,0.9
de onde é a sandália linda?,duvida_produto,0.95
"oi ana boa tarde! obrigada pelo contato. sim, estou interessada. tentei comprar após a mensagem da bia mas ainda estava indisponível",interesse_produto,0.9
"ótimo, me avise por favor. um abraço e obrigada",agradecimento,0.9
obrigada,agradecimento,0.95
lindíssima,reacao_emocional,0.9
🖤🖤🖤,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
preço?,solicitacao_informacao,0.95
olá! bom dia,saudacao,0.95
eu amei a blusa branca tcharam 🥰,agradecimento,0.9
"mas gostaria de experimentar antes de comprar. é possível? 
meu cel (11) 99904-7575",solicitacao_contato,0.9
obrigada,agradecimento,0.95
ops é a blusa pah,duvida_produto,0.8
maravilha 🙌🏼,reacao_emocional,0.9
😍,reacao_emocional,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.8
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.85
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.8
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.85
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.8
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.8
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.85
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
curtiu uma mensagem,reacao_emocional,0.9
curtiu uma mensagem,mensagem_sistema,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.85
